Intercept,bedroom_num,floor_area,bathroom_num,city_mandal,city_manila,city_pasig,city_quezon,city_san_ju,city_taguig,VAR1,listing,location,price,type,city
1,1,54,1,0,0,0,0,0,0,2393,"for sale: 43k lincoln at proscenium (1br, 54 sqm. w/ parking)","rockwell, makati",18000000,condominium,makati
1,3,84,2,0,0,0,0,0,0,2394,"rfo 3br condo unit for sale in brio tower, guadalupe viejo, makati near rockwell","guadalupe viejo, makati",12168000,condominium,makati
1,2,125,2,0,0,0,0,0,0,2395,"for sale: 7th floor one rockwell east, makati","rockwell, makati",33500000,condominium,makati
1,3,224,3,0,0,0,0,0,0,2397,"3br condominium unit for sale in kirov, makati city, metro manila","rockwell, makati",77000000,condominium,makati
1,2,89,3,0,0,0,0,0,0,2398,2 bedroom unit in tuscany mckinley hill bonifacio global city,"ayala avenue, makati",18000000,condominium,makati
1,3,308,3,0,0,0,0,0,0,2399,"two roxas triangle, makati 3br condo for sale","paseo de roxas, makati",101600000,condominium,makati
1,2,138,2,0,0,0,0,0,0,2400,2 bedroom condo unit- garden towers 2 for sale located at makati city,"san lorenzo, makati",49000000,condominium,makati
1,1,37,1,0,0,0,0,0,0,2401,1 bedroom unit for sale at vista salcedo square in makati city,"salcedo village, makati",8000000,condominium,makati
1,2,66,1,0,0,0,0,0,0,2402,for sale: 2 br condominium unit at the grand midori makati,"legazpi village, makati",13500000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2403,1br condo in makati 30k/month rent to own brand new 400k dp rush move in,"chino roces, makati",4764000,condominium,makati
1,2,42,1,0,0,0,0,0,0,2404,2 bedroom with balcony makati and amenity view,"bel-air, makati",11897400,condominium,makati
1,3,268,3,0,0,0,0,0,0,2405,"sale: ritz tower, ayala avenue, makati","rockwell, makati",55000000,condominium,makati
1,1,32,1,0,0,0,0,0,0,2406,ready to move in rockwell studio condo unit in makati,"rockwell, makati",10000000,condominium,makati
1,4,468,4,0,0,0,0,0,0,2407,4 bedroom penthouse unit with den at proscenium rockwell kirov tower for sale,"rockwell, makati",200000000,condominium,makati
1,2,31,2,0,0,0,0,0,0,2408,rush for sale - 2 bedrooms unit at brio tower dmci project,"guadalupe viejo, makati",9000000,condominium,makati
1,1,32,1,0,0,0,0,0,0,2409,"32 sqm studio unit for sale at solstice tower 2, carmona, makati","carmona, makati",6350000,condominium,makati
1,3,236,3,0,0,0,0,0,0,2410,"for sale 3 bedroom condo unit in kirov, proscenium rockwell makati","rockwell, makati",82000000,condominium,makati
1,2,48,2,0,0,0,0,0,0,2412,for sale rent to own rfo 2 bedroom condominium unit in san lorenzo place makati,"san lorenzo, makati",8429008,condominium,makati
1,1,62,2,0,0,0,0,0,0,2413,"fully-furnished 1 bedroom corner unit for sale at gramercy residences, makati","poblacion, makati",15000000,condominium,makati
1,3,199,3,0,0,0,0,0,0,2414,the proscenium at rockwell - 3 bedroom condo unit for sale w/ 2 parking slots,"rockwell, makati",80000000,condominium,makati
1,1,26,1,0,0,0,0,0,0,2415,"1 bedroom san lorenzo place makati, near magallanes mrt station","san lorenzo, makati",4500000,condominium,makati
1,1,67,1,0,0,0,0,0,0,2416,"for sale 1 bedroom unit at paseo parkview suite, makati city","salcedo village, makati",11500000,condominium,makati
1,3,224,4,0,0,0,0,0,0,2417,"3br condominium for sale at proscenium kirov tower, makati city","rockwell, makati",80000000,condominium,makati
1,2,102,2,0,0,0,0,0,0,2418,for sale: 2 bedroom shang salcedo place makati,"salcedo village, makati",32000000,condominium,makati
1,1,43,2,0,0,0,0,0,0,2419,"1 bedroom condo unit for sale in perla compania de seguros mansion, makati","san lorenzo, makati",7240000,condominium,makati
1,1,30,1,0,0,0,0,0,0,2420,"for sale: the belton place 1 bedroom condo unit (1 parking unit), makati","san antonio, makati",4000000,condominium,makati
